sigma,N,rule,window,replicate,seed,MSE,PSNR,laplacian_variance,dct_hf_energy,selection_entropy,selection_entropy_normalized,clipping_fraction
0.02,8,maxfocus,3,48,1291097821,0.0006534296305452477,31.8480117581325,0.01688476282040465,0.0013913699924813015,2.0793542640332934,0.999958028324051,0.0
0.02,8,maxfocus,7,48,1291097821,0.0004972961671866527,33.03384887995006,0.0116104655471765,0.0009914705271731332,2.07902342877334,0.9997989301944222,0.0
0.02,8,single,NA,49,137542531,0.0004007081974390605,33.97171772950045,0.008446516674638053,0.0007451700470471888,NA,NA,0.0
0.02,8,mean,NA,49,137542531,4.988775280443477e-05,43.020060584303145,0.0014063936158426624,0.0001085947846506031,NA,NA,0.0
0.02,8,maxfocus,3,49,137542531,0.0006492865881541025,31.875635679432357,0.016792248133874785,0.0013842211305124831,2.0791088757760363,0.9998400215167719,0.0
0.02,8,maxfocus,7,49,137542531,0.0004954895159337378,33.04965530321583,0.011514034767972081,0.0009849696812251002,2.0779651717043714,0.9992900161192935,0.0
0.02,8,single,NA,50,1682462830,0.0003983507637948008,33.99734345784596,0.00840640287790248,0.0007390857493640052,NA,NA,0.0
0.02,8,mean,NA,50,1682462830,5.013844308306988e-05,42.9982915603655,0.0014003191656248861,0.00010824808462511585,NA,NA,0.0
0.02,8,maxfocus,3,50,1682462830,0.0006529284785477197,31.851343885154687,0.01692021572685225,0.0013933168209934127,2.07932819701957,0.999945492740241,0.0
0.02,8,maxfocus,7,50,1682462830,0.0004962134633063078,33.043314565887684,0.011629727629571209,0.0009908283020978218,2.0790742082384552,0.9998233499552559,0.0
0.02,8,single,NA,51,438205414,0.00040061180592920753,33.97276256304653,0.008334240475644291,0.0007367287529603133,NA,NA,0.0
0.02,8,mean,NA,51,438205414,5.023524392296257e-05,42.989914846328894,0.00140350666333233,0.00010830537194892302,NA,NA,0.0
0.02,8,maxfocus,3,51,438205414,0.0006494080693332628,31.87482319274637,0.01677812342958591,0.0013842302008967387,2.079410853442142,0.999985242077222,0.0
0.02,8,maxfocus,7,51,438205414,0.0004950455723745839,33.053548194102824,0.011496373881754288,0.0009819119530554317,2.079245446607171,0.999905698203708,0.0
0.02,8,single,NA,52,2028683768,0.0004026437405042218,33.95079048056979,0.008405286226992017,0.0007421950770532058,NA,NA,0.0
0.02,8,mean,NA,52,2028683768,5.009561065699488e-05,43.00200325050056,0.0013982615072568056,0.00010788968285644235,NA,NA,0.0
0.02,8,maxfocus,3,52,2028683768,0.0006538658745847684,31.845113279779046,0.016846171857508533,0.0013893891440629853,2.079395472726057,0.9999778455162814,0.0
0.02,8,maxfocus,7,52,2028683768,0.0004938455585918089,33.06408847712412,0.011489140500023733,0.0009806867603651475,2.0788342819557726,0.9997079698025209,0.0
0.02,8,single,NA,53,1991745793,0.0004012087902434566,33.96629560416307,0.008417011155826954,0.0007432983983892531,NA,NA,0.0
0.02,8,mean,NA,53,1991745793,5.0097684830523106e-05,43.0018234376471,0.0013903925026341267,0.00010731861174804666,NA,NA,0.0
0.02,8,maxfocus,3,53,1991745793,0.0006511338775898514,31.863297083275288,0.0167439615025991,0.0013794023973838906,2.079214441631361,0.9998907879620934,0.0
0.02,8,maxfocus,7,53,1991745793,0.0004965487383991595,33.04038117200885,0.011559397821377142,0.0009865907414816518,2.078425629923061,0.9995114497155068,0.0
0.02,8,single,NA,54,1402313687,0.000397579383096939,34.00576144494502,0.008310866411367116,0.0007308508710470911,NA,NA,0.0
0.02,8,mean,NA,54,1402313687,4.996374793803501e-05,43.013449912795714,0.0013969415938011086,0.00010765875066619354,NA,NA,0.0
0.02,8,maxfocus,3,54,1402313687,0.0006495719850239205,31.8737271377286,0.016767207463724877,0.0013810223935212269,2.0792102324760346,0.9998887637862547,0.0
0.02,8,maxfocus,7,54,1402313687,0.0004966482707741697,33.03951072312543,0.011588113074233667,0.0009874506935778618,2.0781843262104385,0.9993954071589906,0.0
0.02,8,single,NA,55,204877935,0.0004010303522521925,33.96822756265627,0.008390514480701678,0.0007379838985373892,NA,NA,0.0
0.02,8,mean,NA,55,204877935,4.9967667988379594e-05,43.01310918786581,0.001405772715095466,0.00010817038232374394,NA,NA,0.0
0.02,8,maxfocus,3,55,204877935,0.0006482183616926822,31.882786711303027,0.016824659540150843,0.0013834976333192482,2.0793565455375287,0.9999591254956663,0.0
0.02,8,maxfocus,7,55,204877935,0.0004933135781719517,33.06876930668008,0.011583714553131678,0.0009853130528459204,2.0792316682658605,0.9998990722221478,0.0
0.02,8,single,NA,56,1219779005,0.00040246655764389496,33.9527020084672,0.00842956190901804,0.0007433337436367225,NA,NA,0.0
0.02,8,mean,NA,56,1219779005,5.009424877007279e-05,43.0021213183327,0.0013974416746488517,0.00010786931821267899,NA,NA,0.0
0.02,8,maxfocus,3,56,1219779005,0.0006520460597728413,31.8572172512904,0.016836919266382276,0.0013869923253870774,2.079086224403687,0.9998291285092527,0.0
0.02,8,maxfocus,7,56,1219779005,0.0004943659850537866,33.059514186062216,0.01154726238390219,0.0009866486656314672,2.0781348721862303,0.9993716248004981,0.0
0.02,8,single,NA,57,652929841,0.0004022845454047338,33.9546665143164,0.008458949503768843,0.0007472324101016006,NA,NA,0.0
0.02,8,mean,NA,57,652929841,4.965971968765402e-05,43.03995736220212,0.0013879428685923145,0.00010696451192450844,NA,NA,0.0
0.02,8,maxfocus,3,57,652929841,0.0006532718269264027,31.849060708385522,0.016893991525322914,0.0013902080295376256,2.0791988513325337,0.9998832906131586,0.0
0.02,8,maxfocus,7,57,652929841,0.00049703320987282,33.03614592388078,0.011598967940383766,0.0009913497487783348,2.078431785786226,0.9995144100599269,0.0
0.02,8,single,NA,58,1548819132,0.0003985613925489972,33.995047724067035,0.008383610968113176,0.0007351575677517626,NA,NA,0.0
0.02,8,mean,NA,58,1548819132,5.018727579456888e-05,42.99406377529653,0.0014080247577180735,0.00010842075142324605,NA,NA,0.0
0.02,8,maxfocus,3,58,1548819132,0.0006506639280769719,31.866432692940542,0.016871032611701513,0.0013893980307083525,2.0793028758998537,0.9999333158556263,0.0
0.02,8,maxfocus,7,58,1548819132,0.0004970492711582475,33.03600558688124,0.011630509607139369,0.0009882881447076139,2.078824223684828,0.9997031327966502,0.0
0.02,8,single,NA,59,830161649,0.0004007991664506757,33.97073190350013,0.008392215615363635,0.0007402707048036935,NA,NA,0.0
0.02,8,mean,NA,59,830161649,5.018884539620517e-05,42.993927952289745,0.0014069682767786913,0.0001088591040248059,NA,NA,0.0
0.02,8,maxfocus,3,59,830161649,0.0006515900279462087,31.860255708354043,0.016846843058355335,0.0013869980803056913,2.0793103668557387,0.9999369182439286,0.0
0.02,8,maxfocus,7,59,830161649,0.0004938284080685142,33.06423930377099,0.011569065085713334,0.000987513317209401,2.0785775141484866,0.9995844905884437,0.0
0.02,8,single,NA,60,686989489,0.0004033786695237285,33.942870708061164,0.008412306127353771,0.0007438645374115572,NA,NA,0.0
0.02,8,mean,NA,60,686989489,5.023517379585435e-05,42.989920908972366,0.0013984219227321504,0.00010762775252575265,NA,NA,0.0
0.02,8,maxfocus,3,60,686989489,0.0006556405633860849,31.833341851964402,0.0168982643219386,0.0013911923886990236,2.079374125779318,0.999967579804882,0.0
0.02,8,maxfocus,7,60,686989489,0.0004978880556807188,33.02868292310955,0.011562022772566183,0.0009878772971719956,2.079272728329471,0.9999188179388643,0.0
0.02,8,single,NA,61,1718392683,0.0004012888333441932,33.96542925201304,0.008344410154255981,0.0007386363768193442,NA,NA,0.0
0.02,8,mean,NA,61,1718392683,5.012339880170493e-05,42.999594877421565,0.0014014207769214185,0.00010816658867730324,NA,NA,0.0
0.02,8,maxfocus,3,61,1718392683,0.0006497113231003171,31.87279564330315,0.016757950171764367,0.0013777425150723066,2.079242918497174,0.9999044824397895,0.0
0.02,8,maxfocus,7,61,1718392683,0.0004926472079613642,33.074639741965086,0.011470467400929555,0.0009786660145949667,2.0785754023608134,0.9995834750332425,0.0
0.02,8,single,NA,62,1404595285,0.0003962712257386627,34.02007461747592,0.008295788873293951,0.0007320392691834144,NA,NA,0.0
0.02,8,mean,NA,62,1404595285,4.986702560787104e-05,43.021865351426236,0.0013945410240821603,0.00010723274148343157,NA,NA,0.0
0.02,8,maxfocus,3,62,1404595285,0.0006502186744528935,31.869405616079952,0.01678631487059388,0.0013788619691100445,2.079299623368688,0.9999317517187652,0.0
0.02,8,maxfocus,7,62,1404595285,0.0004983176242963598,33.02493752605582,0.011610536922666058,0.0009902246598234533,2.079029861783786,0.9998020238185117,0.0
0.02,8,single,NA,63,950222392,0.0004003200416423566,33.97592666810203,0.008369901779701339,0.0007376728365192869,NA,NA,0.0
0.02,8,mean,NA,63,950222392,5.0125312105304754e-05,42.99942910228327,0.0014021204599322318,0.00010780987947606077,NA,NA,0.0
0.02,8,maxfocus,3,63,950222392,0.000649806281095962,31.872160950345375,0.016819784982960922,0.0013854771029245538,2.0793760261469147,0.9999684936885179,0.0
0.02,8,maxfocus,7,63,950222392,0.0004971719167288508,33.03493410911629,0.011624557780148221,0.0009917896158006534,2.079310719950952,0.999937088046833,0.0
0.02,8,single,NA,64,2087442968,0.0003995467895761956,33.98432354610626,0.008321899271723672,0.0007341339833483232,NA,NA,0.0
0.02,8,mean,NA,64,2087442968,5.0069258709939835e-05,43.00428838410674,0.001399199463481528,0.00010802689727616041,NA,NA,0.0
0.02,8,maxfocus,3,64,2087442968,0.0006496251180913687,31.87337191221345,0.016745747399446547,0.0013830692850033246,2.0793137488085254,0.9999385446194332,0.0
