sigma,N,rule,window,MSE_mean,MSE_std,MSE_median,MSE_P05,MSE_P95,PSNR_mean,PSNR_std,PSNR_median,PSNR_P05,PSNR_P95,laplacian_variance_mean,laplacian_variance_std,laplacian_variance_median,laplacian_variance_P05,laplacian_variance_P95,dct_hf_energy_mean,dct_hf_energy_std,dct_hf_energy_median,dct_hf_energy_P05,dct_hf_energy_P95,selection_entropy_mean,selection_entropy_std,selection_entropy_median,selection_entropy_P05,selection_entropy_P95,selection_entropy_normalized_mean,selection_entropy_normalized_std,selection_entropy_normalized_median,selection_entropy_normalized_P05,selection_entropy_normalized_P95,clipping_fraction_mean,clipping_fraction_std,clipping_fraction_median,clipping_fraction_P05,clipping_fraction_P95
0.01,4,maxfocus,3.0,0.000141348076214002,4.2607214094073987e-07,0.0001413801550506,0.00014072163985755999,0.000141999200377,38.4971205193157,0.013094168551398052,38.49611546402359,38.477141020109535,38.51639112689529,0.0038449449999656466,1.3842115107945954e-05,0.00384440586691795,0.003823277208795035,0.003865562693185345,0.000311971209909155,1.0912145349669891e-06,0.0003119776988298,0.000309997537024435,0.00031366196772066496,1.3862267573866611,5.1431436448411126e-05,1.386242638376567,1.3861167798918212,1.386283036820524,0.9999512342146621,3.709993915495981e-05,0.9999626899273528,0.9998719022214548,0.999991831244731,0.0,0.0,0.0,0.0,0.0
0.01,8,maxfocus,3.0,0.00016202453458014497,4.6598818841177845e-07,0.00016201368557635,0.00016130100397229,0.000162753945931935,37.90420995933421,0.012492310792670849,37.904482983021566,37.88468473747765,37.923629305057815,0.004554193036699596,1.542874485610808e-05,0.0045537019819321504,0.00452996259854262,0.00457805787535966,0.000364168781975188,1.1715475802609477e-06,0.00036414059481925,0.00036239890818247497,0.00036616097103284,2.0793076205928105,7.365895549123213e-05,2.079314683926042,2.079182709245707,2.079411424876226,0.9999355975706261,3.5422469934752144e-05,0.9999389943159012,0.9998755279102868,0.9999855168789283,0.0,0.0,0.0,0.0,0.0
0.01,16,maxfocus,3.0,0.00018298410139806998,4.848376479880596e-07,0.0001830030407426,0.000182240510383285,0.00018375084677183,37.3758815126761,0.011505225434906926,37.37541694094183,37.35770654287471,37.39355077054682,0.005270377095750847,1.6755718117039135e-05,0.00526883999655235,0.00524498305902123,0.005300212563904145,0.0004163333300237721,1.2683154378697927e-06,0.0004162763713498,0.000414412569651325,0.000418376802282685,2.772330005163659,8.959777778064008e-05,2.7723439928080897,2.772173942024582,2.772448438804457,0.9999066875393212,3.231556741970604e-05,0.9999117325156348,0.9998503996601183,0.9999494034458846,0.0,0.0,0.0,0.0,0.0
0.01,32,maxfocus,3.0,0.000204620023702171,5.169338440332735e-07,0.00020465615947965,0.000203768988190685,0.00020535809318982998,36.89053242483863,0.010978181905557872,36.88975182154192,36.874881775861844,36.908619125538415,0.006003265177589438,1.9718144414266285e-05,0.0060050569478191495,0.0059708969675218,0.00603019067067327,0.000470112707984974,1.4386225504987272e-06,0.00047026460994715,0.00046776276018665504,0.000472493648902835,3.4652673791893993,0.0001258935743808165,3.4652681697138297,3.4650415159535046,3.4654502116592374,0.999864812662168,3.632520708778207e-05,0.9998650407593035,0.9997996423080995,0.999917566961678,0.0,0.0,0.0,0.0,0.0
0.01,64,maxfocus,3.0,0.000227358268707814,4.965850620594453e-07,0.00022729183006705,0.00022668197224441001,0.0002283423769112,36.43290271193586,0.009479894861754384,36.43416174671343,36.41413482798835,36.44583017520601,0.00675335193208502,2.1845690821144807e-05,0.0067518022141306,0.0067198691167033395,0.00678715674950805,0.0005260709423461439,1.6699564494091317e-06,0.0005261050229528499,0.000522894838483935,0.0005286336843799651,4.158025284557311,0.0001543239177014682,4.15803487875585,4.157770516602456,4.1582382460632985,0.9997937429869591,3.710705845975202e-05,0.999796049904068,0.9997324842427845,0.999844949405057,0.0,0.0,0.0,0.0,0.0
0.01,128,maxfocus,3.0,0.000251239585921166,6.020867207746162e-07,0.0002513038299852,0.00025017408116072,0.00025214635326627503,35.99913166236511,0.010411354537523761,35.99800892541179,35.98347309260764,36.01757687412832,0.007531048917216644,2.428277069310253e-05,0.0075314392465504,0.00749044725488083,0.007568659842657171,0.000584482734407188,1.7502541765102457e-06,0.0005845567667127,0.000581912674896535,0.00058753067486829,4.850479268997132,0.00019729929171318273,4.850491003502221,4.850190141664854,4.850786111651732,0.9996803410452698,4.066324424650754e-05,0.9996827595184551,0.9996207521069177,0.9997435810990015,0.0,0.0,0.0,0.0,0.0
0.02,1,maxfocus,3.0,0.0004003720414674699,1.111795588484433e-06,0.0004003324703695,0.000398530448515245,0.0004021225443223,33.97537914331562,0.012055001900328561,33.975791835037846,33.956415889565314,33.99538492050707,0.00838158606174435,3.0773186149154825e-05,0.00838468081163795,0.00832717983008561,0.008426439804257856,0.0007384272411799461,3.001445192808123e-06,0.0007384545558981499,0.000733565761943055,0.00074334407472473,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,2,maxfocus,3.0,0.000483910295355445,1.5117259728973463e-06,0.00048382121778805,0.00048156324089189,0.0004865220088043,33.152372349930616,0.01356224452787227,33.1531508974558,33.12897518543001,33.17346671910747,0.011246927518518817,4.3900272960743916e-05,0.01123948708926545,0.011182188124000774,0.011332241559450791,0.000970774343092958,4.13862442222456e-06,0.00097066642315055,0.000963838209363305,0.0009782296590866249,0.6931285738222499,2.3462682468106327e-05,0.6931384651439998,0.6930814713069572,0.6931470299818128,0.9999731561517997,3.384949564270805e-05,0.999987426312636,0.9999052015865734,0.9999997827616749,0.0,0.0,0.0,0.0,0.0
0.02,4,maxfocus,3.0,0.0005676996324603071,1.3989969921934585e-06,0.0005677508819418,0.00056523133718426,0.000569915436100665,32.45882693166488,0.010706712843201622,32.45842182478801,32.44189580150974,32.47773769936468,0.014055882778758086,5.008019966943903e-05,0.0140503721074929,0.01398385450947342,0.01413516574700892,0.0011831308240755308,4.095383476382676e-06,0.0011827999403561502,0.001176918715685655,0.0011902242678752401,1.3862329025756113,5.217324897029382e-05,1.3862526536044975,1.3861202228594947,1.3862848142388153,0.9999556670314743,3.763504377824618e-05,0.9999699143871873,0.9998743857976489,0.9999931133810084,0.0,0.0,0.0,0.0,0.0
0.02,8,maxfocus,3.0,0.000650891294340357,1.730863134231561e-06,0.0006508926608193,0.000648132475198395,0.00065365467276535,31.864930572297922,0.011548507356808442,31.86490625374119,31.846516299746632,31.883362173374323,0.016809939416056102,5.58575376391384e-05,0.016808995462674,0.016715553968860725,0.016898604031516447,0.00138525602130294,4.2006789697303335e-06,0.0013850335677318502,0.001378629937993515,0.001392276861214505,2.079303550335343,6.993868564788461e-05,2.079315586370565,2.079197092660093,2.0793954767569223,0.999933640190538,3.363339831681376e-05,0.9999394282999804,0.9998824448704892,0.999977847454718,0.0,0.0,0.0,0.0,0.0
0.02,16,maxfocus,3.0,0.0007361202134176162,1.925057349807117e-06,0.0007360692263346999,0.0007334435532836,0.00073982065998134,31.33052726231761,0.01135383933537282,31.33081338923969,31.308735453644196,31.34633304409972,0.019606534978794627,6.330642431524537e-05,0.019608629749431,0.01949692244748613,0.019700019080148887,0.00158982524190599,4.772935351124645e-06,0.001589447828133,0.0015825163698955699,0.00159797232172632,2.772336908316278,7.631101091587754e-05,2.7723415068073045,2.772214815002741,2.772437681162587,0.9999091773253338,2.7523379253386658e-05,0.9999108358803837,0.9998651414708423,0.9999455234467401,0.0,0.0,0.0,0.0,0.0
0.02,32,maxfocus,3.0,0.0008239299875413458,2.1790335232892156e-06,0.0008239551385422999,0.000820378256516515,0.000827115212595535,30.841111933965852,0.011482262061030035,30.840964334839484,30.824339927360768,30.85985858874513,0.022446600856953255,7.050447692734327e-05,0.0224464981752121,0.022318715148369795,0.022550563699173895,0.0017986574193086058,5.5959215082640004e-06,0.0017987029246747,0.0017906853326225551,0.001807366330153395,3.465258601896544,0.00013139203601257143,3.4652749106562455,3.4650468347693093,3.465442127876141,0.999862280070793,3.7911727753541e-05,0.9998669857841422,0.9998011769939364,0.9999152344749213,0.0,0.0,0.0,0.0,0.0
0.02,64,maxfocus,3.0,0.0009157686127175889,2.2958552542798788e-06,0.0009156764194428999,0.00091257127863744,0.000919539048500975,30.382155965313103,0.01088606413197387,30.382579707209633,30.364298240398266,30.397332039730937,0.025338396612062178,9.284949858225254e-05,0.02533736766236305,0.02520312570955268,0.025476575383232825,0.0020166812197122026,6.115526953507889e-06,0.00201674692826875,0.00200659378931598,0.0020257034330686654,4.157999667692176,0.0001499483479180923,4.158007911850303,4.157749706716948,4.158208834102482,0.9997875834329102,3.605495632181441e-05,0.9997895657339178,0.9997274805230139,0.9998378773233884,9.765625e-10,9.765624999999997e-09,0.0,0.0,0.0
0.02,128,maxfocus,3.0,0.00101272339750132,2.3460472257578202e-06,0.0010129428952608999,0.00100906947613597,0.00101649296761838,29.94510310027963,0.010062040200894237,29.944150373369148,29.928956239554232,29.960789309171727,0.02829990080877592,8.664467422436589e-05,0.02829435088797835,0.02816322843928218,0.028446709340394616,0.0022433274757604036,6.706670377137805e-06,0.0022438136084135,0.00223168157885953,0.0022532256680613,4.85044548458573,0.00020020374823264517,4.850460382853282,4.850090218758266,4.850725347908012,0.9996733781020142,4.1261850677526274e-05,0.9996764486244021,0.9996001580666599,0.9997310577344689,0.0,0.0,0.0,0.0,0.0
