sigma,N,rule,window,MSE_mean,MSE_P05,MSE_P95,PSNR_mean,PSNR_P05,PSNR_P95,laplacian_variance_mean,laplacian_variance_P05,laplacian_variance_P95,dct_hf_energy_mean,dct_hf_energy_P05,dct_hf_energy_P95,selection_entropy_normalized_mean,selection_entropy_normalized_P05,selection_entropy_normalized_P95
0.02,16,maxfocus,7.0,0.000522807159845498,0.000520219873790105,0.0005258020836806,32.81660590099476,32.79177699691085,32.83813064556546,0.012405477150307662,0.01232604131661856,0.012482761967698616,0.0010512823860225104,0.001045492343120265,0.00105769708985626,0.9996307631805033,0.9994347441641318,0.999792280769469
0.02,16,mean,NA,2.4993460598900023e-05,2.483951206333325e-05,2.5125611830806722e-05,46.02176381806663,45.99883358679345,46.048569463193,0.0009003151518429422,0.0008958271860560651,0.00090489097310577,6.286337595280179e-05,6.24352272433413e-05,6.331728197102123e-05,,,
0.02,16,single,NA,0.00040015273142741297,0.0003977179712684,0.00040264612296783003,33.97777557005809,33.95076478335583,34.004247845830434,0.00837497844215105,0.0083077846587012,0.0084424005537945,0.0007379560794181301,0.000732234182717235,0.000743587910106855,,,
0.02,64,maxfocus,3.0,0.0009157686127175889,0.00091257127863744,0.000919539048500975,30.382155965313103,30.364298240398266,30.397332039730937,0.025338396612062178,0.02520312570955268,0.025476575383232825,0.0020166812197122026,0.00200659378931598,0.0020257034330686654,0.9997875834329102,0.9997274805230139,0.9998378773233884
0.02,64,maxfocus,7.0,0.000570239168269598,0.000567144235288345,0.00057366782059786,32.43945419735373,32.413395109165286,32.4630647815557,0.013846054239020196,0.013749421745718285,0.013951382718644715,0.0011621725011081371,0.00115424884626346,0.0011709808044274449,0.9991598535707547,0.9989504938466913,0.9994088613886589
0.02,64,mean,NA,6.2539843566551005e-06,6.222740013626086e-06,6.284620662163975e-06,52.0384557172659,52.01720932214405,52.060183470607576,0.000527111055526038,0.00052520715398743,0.000528883999139945,2.9115958525755717e-05,2.8940761761177605e-05,2.9279177983184393e-05,,,
0.02,64,single,NA,0.000400022859629547,0.00039773567036341,0.00040247781709342503,33.97917942119459,33.9525805120867,34.00405458319883,0.008372506671956003,0.00830834571043612,0.008431384975457524,0.00073769001902354,0.0007312793733583099,0.00074294368349202,,,
0.02,128,maxfocus,3.0,0.00101272339750132,0.00100906947613597,0.00101649296761838,29.94510310027963,29.928956239554232,29.960789309171727,0.02829990080877592,0.02816322843928218,0.028446709340394616,0.0022433274757604036,0.00223168157885953,0.0022532256680613,0.9996733781020142,0.9996001580666599,0.9997310577344689
0.02,128,maxfocus,7.0,0.000592030856037751,0.000588956511547895,0.000594791141759515,32.276577205311284,32.25635508557567,32.299167722765944,0.014494657119357744,0.014417919657033495,0.014590419277855685,0.001211528682957589,0.0012048658755702399,0.001218928936978995,0.9987845862035439,0.998500216039213,0.9990339030546516
0.02,128,mean,NA,3.1245369504514142e-06,3.105744136136658e-06,3.141973287573923e-06,55.05217091675106,55.02797511590751,55.07834327154023,0.00046485705626333996,0.00046371732142273,0.00046577365983509,2.3476587598266048e-05,2.337825028900296e-05,2.3571642535510565e-05,,,
0.02,128,single,NA,0.000399976715250738,0.00039747952480001,0.00040255092349677,33.97968801166281,33.95179178762631,34.00685238271836,0.008368514361579272,0.008311310979838725,0.008428510152793126,0.000737522143295414,0.00073199815187217,0.000743240639877025,,,
