condition,window,landmark_delta,actual_delta,sampling_mse,fusion_mse,total_mse,sampling_psnr,fusion_psnr,total_psnr,sampling_ssim,fusion_ssim,total_ssim,focus_index_agreement,axial_error_kF_mean,axial_error_kF_median,axial_error_kF_p95,oracle_axial_error_mean,N_eff,R_Z,adjacent_overlap_mean,K
H_MIXED,7,2.0,2.0,0.0008055886330463,5.437844060986295e-06,0.0007909930283949,79.06967031227121,100.7765361153776,79.1490770511099,0.9999176691843163,0.9999995362469484,0.9999193328350312,0.962003761574074,0.7788608444353818,0.7999999999999998,0.906101322174072,0.6952242473615511,4.779939813119358,0.0440120373761283,0.0550150467201604,5
H_MIXED,15,0.1,0.1,6.213981777753008e-05,3.965359136134162e-05,0.0001498866760358,90.19710385497862,92.14797834087403,86.37317332297908,0.9999947446318111,0.9999970702916992,0.9999874503266069,0.9354793595679012,0.0919952431529257,0.0,0.0587190628051752,0.0107030703195439,10.607134478457567,0.8690477224881782,0.8799108190192804,81
H_MIXED,15,0.25,0.25,9.542101692422518e-05,3.3155704806598016e-05,0.000159866017694,88.33436320241879,92.92522096517246,86.09324204166079,0.9999926842698056,0.9999976150450248,0.9999866304766852,0.9439646026234568,0.1596245304041802,0.0499999999999998,0.128947377204895,0.0602114323449516,11.508095734929292,0.6512698262142639,0.6716220082834596,33
H_MIXED,15,0.5,0.5,0.0001813207723635,2.813878418359509e-05,0.0002204656687209,85.54632800533638,93.63775032295226,84.69739390854825,0.9999866843337856,0.9999980239020996,0.9999821126428432,0.963768325617284,0.2530631637827821,0.2000000000000001,0.2292847537994382,0.1738415604378203,9.690778098448428,0.4299542295030336,0.4568263688469732,17
H_MIXED,15,1.0,1.0,0.0003049226327961,1.0356922496837828e-05,0.0003171029839443,83.28890699921045,97.97849634531562,83.11880032103254,0.9999752635680232,0.9999992854202904,0.9999738642616672,0.9652088155864198,0.3021936538297917,0.2000000000000001,0.4521381378173827,0.2171453523130468,7.327362608990973,0.185848599001003,0.2090796738761283,9
H_MIXED,15,2.0,2.0,0.0008055886330463,5.107126940200205e-06,0.0007924548639914,79.06967031227121,101.04903708271164,79.14105825470456,0.9999176691843163,0.9999995482305448,0.999919163977649,0.96936824845679,0.7834398792021401,0.7999999999999998,0.863170051574707,0.6952242473615511,4.663162947285015,0.0673674105429971,0.0842092631787463,5
H_FINE,3,0.1,0.1,6.296386743898583e-05,8.809382402922788e-06,8.307006197552605e-05,90.1398896496312,98.68134898358748,88.93635826391372,0.999995009859193,0.9999995919935312,0.9999933438834148,0.9676707175925926,0.0329870496047606,0.0,0.0440898656845095,0.0107030703195439,24.33659822543507,0.6995481700563572,0.7082925221820616,81
H_FINE,3,0.25,0.25,0.000100842813061,7.032539921048813e-06,0.0001060990352637,88.09435408831183,99.65968154699424,87.87368925897144,0.999992733976132,0.9999996691694972,0.9999920974838769,0.9635908564814816,0.0937687190297662,0.0499999999999998,0.1210526227951049,0.0602114323449516,20.87553607154622,0.3674079978319327,0.3788894977641807,33
H_FINE,3,0.5,0.5,0.0002268133987975,1.0832726754015169e-05,0.0002289950259163,84.57411654333217,97.783425722788,84.53254311892823,0.99998483020301,0.999999446238338,0.9999837634312372,0.8612278163580247,0.2235669159709065,0.2000000000000001,0.2999999999999998,0.1738415604378203,12.835369899765038,0.2449782411902918,0.260289381264685,17
H_FINE,3,1.0,1.0,0.0003717947438427,1.00144296047755e-05,0.0003644029841246,82.42777115120606,98.12454142790295,82.51498436080757,0.999971711071691,0.9999994576765572,0.9999723172744516,0.972632137345679,0.2655658644505331,0.2000000000000001,0.4326469898223877,0.2171453523130468,8.044496565674685,0.1061670482583684,0.1194379292906644,9
H_FINE,3,2.0,2.0,0.0010362264793146,6.309584779117321e-06,0.0010231152443007,77.97625674988507,100.13079580715932,78.03155805215405,0.9999011494999368,0.9999995143488288,0.9999025892731696,0.931773726851852,0.8040763865335445,0.7999999999999998,1.2000000000000002,0.6952242473615511,4.897311178344758,0.0205377643310484,0.0256722054138104,5
H_FINE,7,0.1,0.1,6.296386743898583e-05,2.086482472417971e-05,0.0001121711047185,90.1398896496312,94.9366562011356,87.63199363818258,0.999995009859193,0.999998604570945,0.9999906300478456,0.9657634066358024,0.0477467605274523,0.0,0.0445166587829592,0.0107030703195439,14.794751761870554,0.8173487436806104,0.8275656029766181,81
H_FINE,7,0.25,0.25,0.000100842813061,1.4509453498628705e-05,0.0001229231850351,88.09435408831183,96.51429305907752,87.23446556230678,0.999992733976132,0.9999992647200122,0.9999903796222922,0.9716329089506172,0.1052370983205791,0.0499999999999998,0.1210526227951049,0.0602114323449516,16.091156202759784,0.5123892059769762,0.5284013686637568,33
H_FINE,7,0.5,0.5,0.0002268133987975,6.4959367367716845e-06,0.0002290160421235,84.57411654333217,100.00438574161385,84.53214455987839,0.99998483020301,0.9999996076377612,0.999984554684378,0.9762678433641976,0.2172621502966011,0.2000000000000001,0.2112481594085686,0.1738415604378203,12.002270468595231,0.2939840900826335,0.312358095712798,17
H_FINE,7,1.0,1.0,0.0003717947438427,7.343416279674352e-06,0.0003597182729849,82.42777115120606,99.47182212907788,82.57117861178541,0.999971711071691,0.9999995801662168,0.9999728587229676,0.9761930941358024,0.2699624573571862,0.2000000000000001,0.43072452545166,0.2171453523130468,7.879539720266289,0.124495586637079,0.1400575349667139,9
H_FINE,7,2.0,2.0,0.0010362264793146,4.998676137022371e-06,0.0010226554018778,77.97625674988507,101.1422536103478,78.03351044139723,0.9999011494999368,0.9999995775191096,0.999902661096428,0.9562601273148148,0.7915071448136944,0.7999999999999998,0.936244578361504,0.6952242473615511,4.84894475265331,0.030211049469338,0.0377638118366726,5
