condition,window,landmark_delta,actual_delta,plateau_mse,plateau_axial_error_mean,ramp_mse,ramp_axial_error_mean,hard_step_mse,hard_step_axial_error_mean,protrusion_mse,protrusion_axial_error_mean
P_LF,3,1.0,1.0,0.0001581642379046,0.2158975658231774,0.0005887226847636,0.4369689644281934,0.0003417243545495,1.901090648348392,0.0043656279911005,0.013783760677543
P_LF,3,2.0,2.0,0.0018084427151333,1.060742404782366,0.0012419826553562,0.5734975350450736,0.0004478854269361,2.330528481600004,0.0044492705951421,0.0260548069659881
P_LF,7,0.1,0.1,0.0001706921862773,0.2032487221070691,0.0002754542751073,0.1033150910991969,0.0003934381858134,1.3890872132405083,0.0043245667513953,0.0067868737567696
P_LF,7,0.25,0.25,0.000157280214435,0.2675859050364929,0.0002885680334176,0.183167310051509,0.0003573483122235,1.542479571855548,0.0043283877870129,0.0051736015674535
P_LF,7,0.5,0.5,0.0001758525634857,0.2248038410948861,0.000352670739786,0.2509006693807387,0.0002447851553461,1.148541865156944,0.0043292726634889,0.0053679476359929
P_LF,7,1.0,1.0,0.0001491781516249,0.1830656089951834,0.0005647667723651,0.4194411082218506,0.0003112684955371,1.871409255736986,0.0043694782618973,0.0112688490072626
P_LF,7,2.0,2.0,0.0018140601794283,1.0296954696805367,0.0012370612885927,0.5492006110175806,0.0004429577220231,2.2680808396346523,0.00445576285245,0.0245702083114698
P_LF,15,0.1,0.1,0.0002341040779121,0.3472377266179628,0.0003351698003124,0.1697579380323398,0.0006012100085705,2.808655365355502,0.0043216473261161,0.0134752913750404
P_LF,15,0.25,0.25,0.0001875507345865,0.3648122119274651,0.000340354815899,0.2132608411012123,0.0004344278832168,1.8992806906849364,0.0043303760159,0.0112730075251219
P_LF,15,0.5,0.5,0.0001737219955938,0.1954491336237991,0.0003948539079385,0.2262423123240755,0.0001976186927976,0.827356273193473,0.0043513595158415,0.0133121592380094
P_LF,15,1.0,1.0,0.0001462391421918,0.1625904800085257,0.0005747306290199,0.4330599916676642,0.0002897742642115,1.9300619833515584,0.004383719458707,0.0147838436176492
P_LF,15,2.0,2.0,0.0018290495679288,1.0006027065244338,0.0012368683952175,0.5365223772394927,0.0004393079972758,2.290124613801697,0.0044579296191067,0.0269492607521194
P_COARSE,3,0.1,0.1,0.00014162660085,0.1320884670015518,0.0002169074131995,0.0801396069891465,0.0002290143273152,0.8554169950115701,0.0049048373138194,0.0114310953006464
P_COARSE,3,0.25,0.25,0.0001635150453838,0.1823681671446993,0.0002567586278009,0.1565610468392805,0.0002289435111931,1.0140190329885697,0.0049838455379467,0.0059569695645405
P_COARSE,3,0.5,0.5,0.0003045194262856,0.1898448651758512,0.0003798003208508,0.2044257931437541,0.0001882889479552,0.7389216677087254,0.0049840076338826,0.0065018695096985
P_COARSE,3,1.0,1.0,0.0002986586515739,0.1745999313622969,0.0007087283276186,0.3600758508631335,0.0003043247984887,1.4977778072328751,0.00499083499056,0.011250168192056
P_COARSE,3,2.0,2.0,0.0024757703165539,1.0699346248481902,0.001665707346376,0.5602825276634068,0.0006468660199306,2.391019231089892,0.0050772293518565,0.0216795978110532
P_COARSE,7,0.1,0.1,0.0001630540732832,0.1814731623025178,0.0002729075277071,0.1031333096921151,0.0003153979287007,1.3871746361344477,0.0050193152847887,0.0076025344419245
P_COARSE,7,0.25,0.25,0.000163526748053,0.2041682808173928,0.0002901729114544,0.1530487393752568,0.0002540985063891,1.1684230512371716,0.0049605095019116,0.0051736015674535
P_COARSE,7,0.5,0.5,0.0003041239443563,0.1782199843172288,0.0003727070061329,0.1832582936995296,0.0001770766362879,0.6941321403898533,0.0049778555718396,0.0081818136461018
P_COARSE,7,1.0,1.0,0.0002972490128226,0.163544821009077,0.0006947173065799,0.3580719326036843,0.0003129189884592,1.6227717040015048,0.0050078154870756,0.0112688490072626
P_COARSE,7,2.0,2.0,0.0024763269666296,1.0525459478710726,0.001665294561006,0.5448280101418619,0.0006475728396804,2.351462893692108,0.0051172671258321,0.0221412754369987
P_COARSE,15,0.1,0.1,0.0002284599686466,0.3095807579285751,0.0003365841114607,0.1750940626506128,0.0005359521352528,2.9353824036309693,0.0049885142518654,0.0131490271009784
P_COARSE,15,0.25,0.25,0.0001800001332429,0.2649538169769938,0.0003531125117795,0.1955178418251085,0.0002833315380319,1.3103744843677685,0.0049656154740196,0.0116808378676994
P_COARSE,15,0.5,0.5,0.0003062763228474,0.1752007728263789,0.000421466033043,0.1813899213179002,0.0001831655569188,0.7648965793288411,0.0049807825898611,0.0133121592380094
P_COARSE,15,1.0,1.0,0.0002970782734694,0.1603037991311023,0.0007134218805803,0.3839851126135138,0.0003365029230865,1.8952581192803983,0.005021495097501,0.0147838436176492
P_COARSE,15,2.0,2.0,0.0024788666972276,1.0476027501994936,0.0016706862910281,0.5403439852195099,0.0006583419822546,2.3338626418135027,0.0051245866241907,0.0245203278776483
P_MIXED,3,0.1,0.1,0.0001365871024422,0.1024085124325774,0.0002159156924958,0.0689494839298779,0.0002284262151019,0.6113487169035501,0.0046581447076383,0.0123333664158234
P_MIXED,3,0.25,0.25,0.000223398928983,0.1448874616509298,0.0002669943893284,0.1297359180115563,0.0002506647452664,0.7725632684952101,0.0047318649259653,0.004733478536808
