condition,window,metric,n_increasing_steps,n_decreasing_steps,n_total_steps,spearman_rho_vs_delta,status,reversal_fraction,max_step_magnitude,overall_range
P_COARSE,3,sampling_mse,222,97,319,0.9743247004365276,mostly_monotonic_local_reversals,0.30407523510971785,7.72783932701999e-05,0.002540624118027833
P_COARSE,3,fusion_mse,158,161,319,-0.8818705504936573,weakly_monotonic_trend,0.4952978056426332,7.535453838662568e-06,1.9391558145227344e-05
P_COARSE,3,focus_index_agreement,165,154,319,-0.037122432836258164,non_monotonic,0.4827586206896552,0.5598726851851852,0.8345023148148147
P_COARSE,3,axial_error_kF_mean,217,102,319,0.9794476752702663,mostly_monotonic_local_reversals,0.31974921630094044,0.06446090469578081,0.9707230058708506
P_COARSE,7,total_mse,216,103,319,0.9739189347552222,mostly_monotonic_local_reversals,0.322884012539185,7.773209590520008e-05,0.0024675928053474
P_COARSE,7,sampling_mse,222,97,319,0.9743247004365276,mostly_monotonic_local_reversals,0.30407523510971785,7.72783932701999e-05,0.002540624118027833
P_COARSE,7,fusion_mse,152,167,319,-0.9126223156476138,mostly_monotonic_local_reversals,0.47648902821316613,4.6886579993938495e-06,2.4962553901058388e-05
P_COARSE,7,focus_index_agreement,169,150,319,-0.4147038789441303,non_monotonic,0.4702194357366771,0.6305661651234569,0.8440364583333334
P_COARSE,7,axial_error_kF_mean,215,104,319,0.9821203087920781,mostly_monotonic_local_reversals,0.32601880877742945,0.04599543989106021,0.957566339645835
P_COARSE,15,total_mse,214,105,319,0.9743781677555445,mostly_monotonic_local_reversals,0.329153605015674,7.635876731300014e-05,0.002434515988386
P_COARSE,15,sampling_mse,222,97,319,0.9743247004365276,mostly_monotonic_local_reversals,0.30407523510971785,7.72783932701999e-05,0.002540624118027833
P_COARSE,15,fusion_mse,154,165,319,-0.9285559429291301,mostly_monotonic_local_reversals,0.4827586206896552,8.188802333176077e-06,4.6478346191892025e-05
P_COARSE,15,focus_index_agreement,164,155,319,-0.22871011923944573,non_monotonic,0.48589341692789967,0.637244888117284,0.8563864776234569
P_COARSE,15,axial_error_kF_mean,210,109,319,0.9833269856150939,mostly_monotonic_local_reversals,0.34169278996865204,0.0472501090783644,0.9399866346858734
P_MIXED,3,total_mse,219,100,319,0.9680887996953096,mostly_monotonic_local_reversals,0.31347962382445144,0.00012383611443139995,0.0030068694907489
P_MIXED,3,sampling_mse,217,102,319,0.9672790994052676,mostly_monotonic_local_reversals,0.31974921630094044,0.00012496485517239994,0.0030451450971623155
P_MIXED,3,fusion_mse,147,172,319,-0.828086822136935,weakly_monotonic_trend,0.4608150470219436,6.317696573320111e-06,1.4816747844765672e-05
P_MIXED,3,focus_index_agreement,165,154,319,-0.21357154366741865,non_monotonic,0.4827586206896552,0.5586019483024691,0.8450154320987655
P_MIXED,3,axial_error_kF_mean,217,102,319,0.9794700143556089,mostly_monotonic_local_reversals,0.31974921630094044,0.04752898837487,1.019759504750238
P_MIXED,7,total_mse,216,103,319,0.9681261535757186,mostly_monotonic_local_reversals,0.322884012539185,0.0001226711526881,0.0029761691629802
P_MIXED,7,sampling_mse,217,102,319,0.9672790994052676,mostly_monotonic_local_reversals,0.31974921630094044,0.00012496485517239994,0.0030451450971623155
P_MIXED,7,fusion_mse,148,171,319,-0.8788119268742859,weakly_monotonic_trend,0.46394984326018807,3.7644162158695166e-06,2.353096277164933e-05
P_MIXED,7,focus_index_agreement,159,160,319,-0.5123004599929397,weakly_monotonic_trend,0.49843260188087773,0.596710551697531,0.8497328317901235
P_MIXED,7,axial_error_kF_mean,214,105,319,0.9816288489145402,mostly_monotonic_local_reversals,0.329153605015674,0.04500586356674789,1.0083373161097022
P_MIXED,15,total_mse,217,102,319,0.9673787097530249,mostly_monotonic_local_reversals,0.31974921630094044,0.00010634460084899997,0.0029423509786327003
P_MIXED,15,sampling_mse,217,102,319,0.9672790994052676,mostly_monotonic_local_reversals,0.31974921630094044,0.00012496485517239994,0.0030451450971623155
P_MIXED,15,fusion_mse,158,161,319,-0.9248011455189993,mostly_monotonic_local_reversals,0.4952978056426332,7.044739482113627e-06,4.3566560693502785e-05
P_MIXED,15,focus_index_agreement,173,146,319,-0.43888195064911256,non_monotonic,0.45768025078369906,0.6280820794753087,0.8558603395061729
P_MIXED,15,axial_error_kF_mean,201,118,319,0.9830545220168165,mostly_monotonic_local_reversals,0.36990595611285265,0.05051408591778478,0.9953894572461673
P_FINE,3,total_mse,222,97,319,0.9583716637857791,mostly_monotonic_local_reversals,0.30407523510971785,0.00023912141486230002,0.0032787760915611998
P_FINE,3,sampling_mse,221,98,319,0.9578329622359594,mostly_monotonic_local_reversals,0.3072100313479624,0.0002392789962777001,0.0033116019253725286
P_FINE,3,fusion_mse,154,165,319,-0.72128658482993,weakly_monotonic_trend,0.4827586206896552,2.8050258720969362e-06,9.867398104409153e-06
P_FINE,3,focus_index_agreement,152,167,319,-0.5450755134327484,weakly_monotonic_trend,0.47648902821316613,0.541584201388889,0.8484408757716051
P_FINE,3,axial_error_kF_mean,211,108,319,0.9818471127647731,mostly_monotonic_local_reversals,0.3385579937304075,0.046716407625256,1.0542814214558258
P_FINE,7,total_mse,222,97,319,0.9583409017666189,mostly_monotonic_local_reversals,0.30407523510971785,0.00023840616571489995,0.003248540674291
P_FINE,7,sampling_mse,221,98,319,0.9578329622359594,mostly_monotonic_local_reversals,0.3072100313479624,0.0002392789962777001,0.0033116019253725286
P_FINE,7,fusion_mse,153,166,319,-0.8833006181700993,weakly_monotonic_trend,0.47962382445141066,3.879226883540239e-06,2.0904349797622476e-05
P_FINE,7,focus_index_agreement,151,168,319,-0.7394933055986874,weakly_monotonic_trend,0.47335423197492166,0.5692259837962963,0.8508043981481481
P_FINE,7,axial_error_kF_mean,214,105,319,0.9823557847244602,mostly_monotonic_local_reversals,0.329153605015674,0.04706478432002559,1.0461402015785135
P_FINE,15,total_mse,222,97,319,0.9585690534087248,mostly_monotonic_local_reversals,0.30407523510971785,0.00022089699059489988,0.0032123661009
P_FINE,15,sampling_mse,221,98,319,0.9578329622359594,mostly_monotonic_local_reversals,0.3072100313479624,0.0002392789962777001,0.0033116019253725286
P_FINE,15,fusion_mse,150,169,319,-0.9192068526059826,mostly_monotonic_local_reversals,0.4702194357366771,7.587549323593873e-06,3.9510043886890574e-05
P_FINE,15,focus_index_agreement,153,166,319,-0.6245074414789207,weakly_monotonic_trend,0.47962382445141066,0.567034625771605,0.8531857638888891
P_FINE,15,axial_error_kF_mean,206,113,319,0.9825974863035771,mostly_monotonic_local_reversals,0.3542319749216301,0.06390767024978011,1.0369940109484532
