condition,delta,window,K,sampling_mse,sampling_psnr,sampling_ssim,fusion_mse,fusion_psnr,fusion_ssim,total_mse,total_psnr,total_ssim,focus_index_agreement,axial_error_kF_mean,axial_error_kF_median,axial_error_kF_p95,oracle_axial_error_mean,oracle_axial_error_median,oracle_axial_error_p95,N_eff,R_Z,adjacent_overlap_mean,region_plateau_mse,region_ramp_mse,region_hard_step_mse,region_protrusion_mse,region_plateau_axial_error_mean,region_ramp_axial_error_mean,region_hard_step_axial_error_mean,region_protrusion_axial_error_mean
H_MIXED,0.34,3,25,0.00011427931030721236,87.55112750181668,0.9999913308727123,9.415999640395983e-06,98.3921392761856,0.9999994882447993,0.00012520859432069007,87.15446220987508,0.9999901415882019,0.9416333912037037,0.1613728701903524,0.11999999999999966,0.18932167053222626,0.10249941471603215,0.11999999999999966,0.13093046188354518,17.32701810765435,0.30691927569382604,0.31970757884773543,4.7706321045628145e-05,0.00022661127188961154,0.0001876316685854678,0.004533087833060597,0.12966199411427645,0.1403813333011014,0.8961262098048022,0.009349623659889998
H_MIXED,0.35,3,24,0.00012309649843869115,87.22834661554654,0.9999909264568115,1.1111494728952711e-05,97.67307876286013,0.9999993641271632,0.00013525605243957053,86.81923652839428,0.9999894938305803,0.9422154706790123,0.15864243592891,0.09999999999999964,0.18948130607604963,0.09935667106626485,0.09999999999999964,0.15000000000000036,16.27505131565359,0.321872861847767,0.3358673341020177,4.2369322764258104e-05,0.00024779259076296767,0.00020860021161695923,0.004493153437515057,0.0822967413164767,0.1813309634575792,0.8667220007644859,0.0037751855119017544
H_MIXED,0.36,3,24,0.00011583646207458574,87.49235076215018,0.9999912723066751,9.440043455618337e-06,98.381063673652,0.9999995382633221,0.00012683741874091383,87.0983296571835,0.9999901428250371,0.958762538580247,0.12589719475526565,0.08000000000000007,0.1676720714569085,0.07994528124630712,0.08000000000000007,0.16210519790649447,16.730669100833722,0.3028887874652616,0.3160578651811425,8.328446544427859e-05,0.00025197380613229493,0.00021828097919902653,0.004457669183610462,0.312748026692514,0.1444563695899383,1.188220696200557,0.011783938711269069
H_MIXED,0.37,3,23,0.0001250105438452499,87.16133716334299,0.9999907942849928,1.1926749904014166e-05,97.36558248384064,0.999999304864872,0.0001305864144163671,86.97182363491689,0.9999899212181966,0.9557744984567901,0.12452323310108898,0.05999999999999961,0.1760947537422183,0.07479136358176185,0.05999999999999961,0.16999999999999993,16.171827315377342,0.29687707324446333,0.31037148566466627,3.999736191531195e-05,0.00023448082363552756,0.00021950880326982805,0.004514697923815588,0.057369508894330366,0.17661959248350528,1.1074220590477728,0.007695156785053292
H_MIXED,0.38,3,23,0.00011982237568084207,87.34542434907068,0.9999910492760671,9.675679489048662e-06,98.27398887127117,0.9999994984528043,0.00013172657092715162,86.93406974341056,0.9999897616522687,0.9597299382716049,0.10681788675413599,0.040000000000000036,0.17894737720489529,0.06314700951121775,0.040000000000000036,0.17894737720489529,16.167739975604427,0.29705478366937277,0.31055727383616244,5.9486155072862204e-05,0.0002622597643939844,0.00022155646138598557,0.0041251423296616765,0.19868021100499583,0.16626206200949878,1.1489383146979593,0.020062888162559658
H_MIXED,0.39,3,22,0.00014091959275726069,86.64108981422075,0.9999897905806155,1.2625643172309577e-05,97.11826849794427,0.999999240482445,0.00014545042481246888,86.50365366852782,0.9999889191348198,0.9470606674382716,0.11747774082740767,0.019999999999999574,0.1997597122192385,0.0707011299937039,0.019999999999999574,0.17999999999999972,16.207010996939733,0.2633176819572849,0.2758566191933462,8.28133138133356e-05,0.0002737581948750744,0.0002236079766555101,0.004556654212640534,0.2824831694078962,0.19422089008664306,1.0825826106305982,0.008605171455644671
H_MIXED,0.4,3,21,0.00011618681486649122,87.4792351470367,0.9999912035893777,8.53399323634741e-06,98.81928066546416,0.9999996188611431,0.00012400453538130088,87.19642791390741,0.9999903936408789,0.9690301890432099,0.0594084666810691,0.0,0.17376092910766497,0.028922046418501778,0.0,0.1568628072738651,15.931576616365774,0.24135349445877263,0.25342116918171126,5.174684519734214e-05,0.00024981545801938047,0.00022396310391110743,0.004502552565070449,0.11237777185902519,0.15235954648504918,1.045920836019445,0.005643422296346692
H_MIXED,0.41,3,21,0.00012566024763026638,87.13882449651987,0.9999907620626133,1.0733263969880448e-05,97.82348550500019,0.999999436372394,0.00013881570602288805,86.70641754596465,0.9999893045311157,0.9591454475308642,0.10043414180485598,0.020000000000000462,0.1872979640960697,0.05918437513335646,0.020000000000000462,0.17999999999999972,15.537085293823122,0.2601387955322323,0.2731457353088439,5.5604356656483445e-05,0.00026390201538418226,0.00021241970617595076,0.004539413087519204,0.16169755516231926,0.18257051550084036,1.0725425526282113,0.008234214020397689
H_MIXED,0.42,3,21,0.00013490020024554925,86.8306776652979,0.9999900162856471,1.0922546120436213e-05,97.7475647367457,0.9999994432664381,0.00014545284163610983,86.50358150617751,0.9999887798905719,0.9538435570987654,0.11801754293149115,0.040000000000000036,0.20198551177978508,0.07633487442999227,0.040000000000000036,0.19789480209350585,15.059843888590017,0.2828645767338087,0.2970078055704992,0.0001003058106252154,0.0002783901254799836,0.00021634229494726955,0.0041266016979919235,0.327789742265946,0.1745138184441801,1.0468916054738437,0.02153065479210076
H_MIXED,0.43,3,20,0.00013220665612940496,86.91827040003452,0.9999901135428767,1.2624740510859928e-05,97.11857900481948,0.9999993060503263,0.0001442609649308025,86.53931528101056,0.9999886721642139,0.9523109567901235,0.13979827608702244,0.06000000000000005,0.21092155456543005,0.08788769338881272,0.06000000000000005,0.18166305541992145,14.861220209950753,0.2569389895024623,0.27046209421311823,6.035108533499086e-05,0.00028264289061580414,0.00022803688408861174,0.004496488971596141,0.21544078773230016,0.19654789917115836,1.1357240670270963,0.005486695645878403
H_MIXED,0.44,3,20,0.00014778584577394965,86.4344751947913,0.999989293029676,1.1064386060907478e-05,97.69153040007014,0.9999994276344653,0.00015408107878905346,86.25331050391105,0.9999883250216675,0.952193287037037,0.14315355712721925,0.08000000000000007,0.21608644008636474,0.09014681233472131,0.08000000000000007,0.18117736530303927,14.418027196581326,0.27909864017093367,0.29378804228519345,3.6576374359244095e-05,0.0002825359159091682,0.00022598009035614626,0.004468905761865695,0.018583345507175105,0.2102677249906958,1.182969316107328,0.013403596535786926
