condition,window,n_delta,sampling_mse_min,sampling_mse_max,fusion_mse_min,fusion_mse_max,total_mse_min,total_mse_max,total_mse_at_delta_min,total_mse_at_delta_max,focus_agreement_min,focus_agreement_max,axial_err_kF_mean_min,axial_err_kF_mean_max,N_eff_min,N_eff_max,R_Z_min,R_Z_max
H_FINE,7,320,5.662441896896279e-05,0.0013624076103847,1.6069265563663091e-06,2.21354404640762e-05,0.0001080663377207,0.0013525493494043,0.0001086084464727,0.0013525493494043,0.1331037808641975,0.9816121720679012,0.0338902148727918,1.025712011378347,3.516175242521178,17.187542773141125,4.345247952630693e-05,0.9956102681117088
H_FINE,15,320,5.662441896896279e-05,0.0013624076103847,1.5301123778642992e-06,3.908337580183627e-05,0.000138219915086,0.0013511567202362,0.000139278939575,0.0013509834806051,0.1230627893518518,0.978416763117284,0.0487006925334299,1.0377538825977828,2.6812623723725477,12.706234178052048,0.000103424403085,0.9966526062766884
P_LF,3,320,8.39902168067952e-05,0.0015965626435962,7.31929129779974e-06,4.9528567146346655e-05,0.0001265104005873,0.001591696698274,0.0001280649539933,0.0015898625337043,0.1362152777777777,0.958049286265432,0.0526030034817886,0.9908873825490868,3.9240050851625794,25.634580789445923,0.0002903810001231,0.9925994890529696
P_LF,7,320,8.39902168067952e-05,0.0015965626435962,5.437937533503336e-06,3.497740533010042e-05,0.0001524339359741,0.0015885318660173,0.0001547953904917,0.0015863167687241,0.1313406635802469,0.9685807291666668,0.0594560912027715,0.985149474756052,3.7011633139091233,16.77626879942249,0.0004404654865048,0.9953793217054816
P_LF,15,320,8.39902168067952e-05,0.0015965626435962,4.856637086304536e-06,5.504565215734419e-05,0.0001919341944465,0.0015892282223045,0.0001919341944465,0.0015863335657748,0.1179726080246913,0.9727213541666668,0.0941229475247386,0.9894985533274016,2.804871302020683,12.466795276127362,0.0007618727729139,0.9964982880124584
P_COARSE,3,320,8.40938645393667e-05,0.0026247179825672,5.847784129109867e-06,2.523934227433721e-05,0.0001201700254647,0.0026171667711262,0.0001201700254647,0.002613971447677,0.1366020447530864,0.9711043595679012,0.0394593799501183,1.0101823858209689,3.988172706924295,25.44388177913982,4.895796040782496e-05,0.992650440541614
P_COARSE,7,320,8.40938645393667e-05,0.0026247179825672,3.3689442154219427e-06,2.833149811648033e-05,0.0001468720975747,0.0026144649029221,0.0001469129169896,0.0026101978739574,0.1323509837962962,0.9763874421296296,0.048890853797615,1.00645719344345,3.6630229632315783,17.185742098879224,9.6857267786854e-05,0.9954269376239306
P_COARSE,15,320,8.40938645393667e-05,0.0026247179825672,3.1083962216230625e-06,4.958674241351509e-05,0.000182914576017,0.002617430564403,0.000182914576017,0.0026115600150643,0.1205507330246913,0.9769372106481482,0.074268217465661,1.0142548521515344,2.7455111959284846,12.630305343098092,0.0002166038204343,0.996572395510701
P_MIXED,3,320,8.600074391318477e-05,0.0031311458410755,2.9097185778807883e-06,1.772646642264646e-05,0.0001171162285884,0.0031239857193373,0.0001171162285884,0.0031228389091735,0.1349440586419753,0.9799594907407408,0.0304751492663529,1.0502346540165908,3.995241618082489,25.45924695320663,2.113198622155643e-05,0.992820492623992
P_MIXED,7,320,8.600074391318477e-05,0.0031311458410755,2.2538080909302627e-06,2.5784770862579592e-05,0.0001448458896502,0.0031210150526304,0.000144900829242,0.0031199188170535,0.1340658757716049,0.9837987075617284,0.037558902981036,1.0458962190907382,3.641478647328114,17.485520666949864,4.42653850027952e-05,0.9954538343978424
P_MIXED,15,320,8.600074391318477e-05,0.0031311458410755,1.99704541610516e-06,4.556360610960795e-05,0.0001789717342188,0.0031213227128515,0.0001789717342188,0.0031195742452182,0.1237721836419753,0.9796325231481482,0.0555198953368404,1.0509093525830078,2.793480285301532,13.08853369737979,0.0001086208835294,0.9965125090071142
P_FINE,3,320,9.021911286817126e-05,0.0034018210382407,1.934647985978624e-06,1.1802046090387778e-05,0.0001169184000112,0.0033956944915724,0.0001169184000112,0.0033956944915724,0.1367226080246913,0.9851634837962964,0.0236034160715337,1.0778848375273595,3.995261728640516,24.84689854669114,2.110102499663924e-05,0.9933008209995708
P_FINE,7,320,9.021911286817126e-05,0.0034018210382407,1.508715953662296e-06,2.241306575128477e-05,0.0001434340885271,0.0033919747628181,0.0001434340885271,0.0033919747628181,0.1370905671296296,0.9878949652777778,0.0281673094960663,1.07430751107458,3.421144488269334,17.70083211331354,4.300749653507463e-05,0.9957289082543452
P_FINE,15,320,9.021911286817126e-05,0.0034018210382407,1.2046761336313542e-06,4.071472002052193e-05,0.0001783730478276,0.0033907391487276,0.0001783730478276,0.0033907391487276,0.1266449652777777,0.9798307291666668,0.0434083542428648,1.080402365191318,2.6641584441721906,13.79231654558276,0.0001006581305208,0.9966739594954156
