condition,window,delta_from,delta_to,metric,value_from,value_to,abs_change,rel_change,better_direction
H_MIXED,15,1.0,0.5,axial_error_kF_mean,0.3021936538297917,0.2530631637827821,-0.04913049004700959,-0.16257948975553924,lower
H_MIXED,15,0.5,0.25,total_mse,0.0002204656687209,0.000159866017694,-6.05996510269e-05,-0.2748711460541121,lower
H_MIXED,15,0.5,0.25,sampling_mse,0.0001813207723635,9.542101692422518e-05,-8.589975543927483e-05,-0.4737447029349104,lower
H_MIXED,15,0.5,0.25,focus_index_agreement,0.963768325617284,0.9439646026234568,-0.019803722993827155,-0.020548219387831686,higher
H_MIXED,15,0.5,0.25,axial_error_kF_mean,0.2530631637827821,0.1596245304041802,-0.09343863337860189,-0.36923047978174084,lower
H_MIXED,15,0.25,0.12,total_mse,0.000159866017694,0.0001517685379952,-8.09747969880001e-06,-0.05065166328405965,lower
H_MIXED,15,0.25,0.12,sampling_mse,9.542101692422518e-05,6.528746441674096e-05,-3.0133552507484226e-05,-0.31579575945426774,lower
H_MIXED,15,0.25,0.12,focus_index_agreement,0.9439646026234568,0.9514756944444444,0.0075110918209875255,0.007956963428620921,higher
H_MIXED,15,0.25,0.12,axial_error_kF_mean,0.1596245304041802,0.1085561454960538,-0.0510683849081264,-0.3199281763198787,lower
H_MIXED,15,2.0,1.0,total_mse,0.0007924548639914,0.0003171029839443,-0.00047535188004709997,-0.5998472615246118,lower
H_MIXED,15,2.0,1.0,sampling_mse,0.0008055886330463,0.0003049226327961,-0.0005006660002502001,-0.6214908946231681,lower
H_MIXED,15,2.0,1.0,focus_index_agreement,0.96936824845679,0.9652088155864198,-0.004159432870370239,-0.004290869725712547,higher
H_MIXED,15,2.0,1.0,axial_error_kF_mean,0.7834398792021401,0.3021936538297917,-0.4812462253723484,-0.614273332450797,lower
H_FINE,3,1.0,0.5,total_mse,0.0003644029841246,0.0002289950259163,-0.00013540795820830002,-0.37158849984060527,lower
H_FINE,3,1.0,0.5,sampling_mse,0.0003717947438427,0.0002268133987975,-0.00014498134504519999,-0.38994995880452554,lower
H_FINE,3,1.0,0.5,focus_index_agreement,0.972632137345679,0.8612278163580247,-0.11140432098765429,-0.11453900885043505,higher
H_FINE,3,1.0,0.5,axial_error_kF_mean,0.2655658644505331,0.2235669159709065,-0.0419989484796266,-0.15814889675871627,lower
H_FINE,3,0.5,0.25,total_mse,0.0002289950259163,0.0001060990352637,-0.00012289599065259997,-0.5366753717066314,lower
H_FINE,3,0.5,0.25,sampling_mse,0.0002268133987975,0.000100842813061,-0.0001259705857365,-0.5553930517524985,lower
H_FINE,3,0.5,0.25,focus_index_agreement,0.8612278163580247,0.9635908564814816,0.10236304012345687,0.11885709934025528,higher
H_FINE,3,0.5,0.25,axial_error_kF_mean,0.2235669159709065,0.0937687190297662,-0.1297981969411403,-0.5805787335637415,lower
H_FINE,3,0.25,0.12,total_mse,0.0001060990352637,8.261329428334504e-05,-2.3485740980354965e-05,-0.22135678163315228,lower
H_FINE,3,0.25,0.12,sampling_mse,0.000100842813061,6.66001077749406e-05,-3.42427052860594e-05,-0.3395651533971581,lower
H_FINE,3,0.25,0.12,focus_index_agreement,0.9635908564814816,0.9752179783950616,0.011627121913580063,0.012066451062057702,higher
H_FINE,3,0.25,0.12,axial_error_kF_mean,0.0937687190297662,0.0528855669590969,-0.0408831520706693,-0.4359998994727788,lower
H_FINE,3,2.0,1.0,total_mse,0.0010231152443007,0.0003644029841246,-0.0006587122601761,-0.6438299730606891,lower
H_FINE,3,2.0,1.0,sampling_mse,0.0010362264793146,0.0003717947438427,-0.0006644317354719,-0.6412032009753125,lower
H_FINE,3,2.0,1.0,focus_index_agreement,0.931773726851852,0.972632137345679,0.04085841049382699,0.043850142278505456,higher
H_FINE,3,2.0,1.0,axial_error_kF_mean,0.8040763865335445,0.2655658644505331,-0.5385105220830114,-0.6697255771986854,lower
H_FINE,7,1.0,0.5,total_mse,0.0003597182729849,0.0002290160421235,-0.00013070223086140002,-0.3633460979806454,lower
H_FINE,7,1.0,0.5,sampling_mse,0.0003717947438427,0.0002268133987975,-0.00014498134504519999,-0.38994995880452554,lower
H_FINE,7,1.0,0.5,focus_index_agreement,0.9761930941358024,0.9762678433641976,7.474922839523224e-05,7.657217495623213e-05,higher
