condition,window,landmark_delta,actual_delta,K,N_eff,R_Z,adjacent_overlap_mean,total_mse,sampling_mse
H_MIXED,3,2.0,2.0,5,4.841471156806688,0.0317057686386623,0.0396322107983279,0.0007915927199816,0.0008055886330463
H_MIXED,7,0.1,0.1,81,15.084847367799757,0.8137673164469166,0.8239394079025029,0.0001125899356309,6.213981777753008e-05
H_MIXED,7,0.25,0.25,33,16.122359643161595,0.5114436471769214,0.5274262611512002,0.0001207996531734,9.542101692422518e-05
H_MIXED,7,0.5,0.5,17,11.979879835274314,0.2953011861603345,0.3137575102953554,0.0001880188611749,0.0001813207723635
H_MIXED,7,1.0,1.0,9,7.950895249340656,0.1165671945177049,0.131138093832418,0.0002975807732767,0.0003049226327961
H_MIXED,7,2.0,2.0,5,4.779939813119358,0.0440120373761283,0.0550150467201604,0.0007909930283949,0.0008055886330463
H_MIXED,15,0.1,0.1,81,10.607134478457567,0.8690477224881782,0.8799108190192804,0.0001498866760358,6.213981777753008e-05
H_MIXED,15,0.25,0.25,33,11.508095734929292,0.6512698262142639,0.6716220082834596,0.000159866017694,9.542101692422518e-05
H_MIXED,15,0.5,0.5,17,9.690778098448428,0.4299542295030336,0.4568263688469732,0.0002204656687209,0.0001813207723635
H_MIXED,15,1.0,1.0,9,7.327362608990973,0.185848599001003,0.2090796738761283,0.0003171029839443,0.0003049226327961
H_MIXED,15,2.0,2.0,5,4.663162947285015,0.0673674105429971,0.0842092631787463,0.0007924548639914,0.0008055886330463
H_FINE,3,0.1,0.1,81,24.33659822543507,0.6995481700563572,0.7082925221820616,8.307006197552605e-05,6.296386743898583e-05
H_FINE,3,0.25,0.25,33,20.87553607154622,0.3674079978319327,0.3788894977641807,0.0001060990352637,0.000100842813061
H_FINE,3,0.5,0.5,17,12.835369899765038,0.2449782411902918,0.260289381264685,0.0002289950259163,0.0002268133987975
H_FINE,3,1.0,1.0,9,8.044496565674685,0.1061670482583684,0.1194379292906644,0.0003644029841246,0.0003717947438427
H_FINE,3,2.0,2.0,5,4.897311178344758,0.0205377643310484,0.0256722054138104,0.0010231152443007,0.0010362264793146
H_FINE,7,0.1,0.1,81,14.794751761870554,0.8173487436806104,0.8275656029766181,0.0001121711047185,6.296386743898583e-05
H_FINE,7,0.25,0.25,33,16.091156202759784,0.5123892059769762,0.5284013686637568,0.0001229231850351,0.000100842813061
H_FINE,7,0.5,0.5,17,12.002270468595231,0.2939840900826335,0.312358095712798,0.0002290160421235,0.0002268133987975
H_FINE,7,1.0,1.0,9,7.879539720266289,0.124495586637079,0.1400575349667139,0.0003597182729849,0.0003717947438427
H_FINE,7,2.0,2.0,5,4.84894475265331,0.030211049469338,0.0377638118366726,0.0010226554018778,0.0010362264793146
H_FINE,15,0.1,0.1,81,10.520920069526642,0.8701120979070784,0.8809884991309168,0.000148052827791,6.296386743898583e-05
