delta,s_z,C_bar,coverage_deficit,S_delta
2.0489788623330085,3.4117735999999996,0.5112798242729037,0.48872017572709625,0.22294363999131186
2.049219056786706,3.41217355,0.5112262785460988,0.4887737214539012,0.22290950953757915
2.049459251240403,3.4125734999999997,0.5111727410170285,0.4888272589829715,0.22287538084139769
2.0496994456941002,3.41297345,0.5111192116852703,0.4888807883147297,0.22284125390603257
2.049939640147797,3.4133734,0.511065690550401,0.48893430944959904,0.22280712873474692
2.050179834601494,3.4137733499999996,0.5110121776119964,0.48898782238800365,0.22277300533080122
2.050420029055191,3.4141733,0.5109586728696315,0.4890413271303685,0.2227388836974541
2.050660223508888,3.4145732499999997,0.5109051763228808,0.4890948236771192,0.22270476383796156
2.0509004179625854,3.4149732,0.5108516879713176,0.48914831202868236,0.22267064575557768
2.0511406124162823,3.4153731499999997,0.5107982078145149,0.4892017921854851,0.2226365294535542
2.0513808068699797,3.4157731,0.5107447358520445,0.4892552641479555,0.2226024149351405
2.0516210013236766,3.41617305,0.5106912720834779,0.48930872791652213,0.22256830220358392
2.0518611957773736,3.4165729999999996,0.5106378165083851,0.48936218349161487,0.2225341912621294
2.052101390231071,3.41697295,0.5105843691263359,0.48941563087366413,0.22250008211401956
2.052341584684768,3.4173728999999997,0.5105309299368994,0.4894690700631006,0.22246597476249508
2.052581779138465,3.41777285,0.5104774989396433,0.48952250106035666,0.22243186921079414
2.052821973592162,3.4181728,0.5104240761341352,0.4895759238658648,0.2223977654621527
2.0530621680458587,3.4185727499999996,0.5103706615199416,0.4896293384800584,0.22236366351980466
2.053302362499556,3.4189727,0.510317255096628,0.48968274490337205,0.22232956338698148
2.053542556953253,3.4193726499999997,0.5102638568637594,0.4897361431362406,0.22229546506691247
2.0537827514069504,3.4197726,0.5102104668209003,0.4897895331790997,0.22226136856282458
2.0540229458606474,3.4201725499999998,0.510157084967614,0.489842915032386,0.22222727387794283
2.0542631403143443,3.4205725,0.510103711303463,0.489896288696537,0.2221931810154897
2.0545033347680413,3.42097245,0.5100503458280093,0.48994965417199066,0.22215908997868564
2.054743529221738,3.4213723999999996,0.5099969885408141,0.4900030114591859,0.22212500077074857
2.0549837236754356,3.42177235,0.5099436394414375,0.4900563605585625,0.2220909133948944
2.0552239181291325,3.4221722999999997,0.5098902985294392,0.49010970147056077,0.22205682785433686
2.05546411258283,3.42257225,0.5098369658043779,0.4901630341956221,0.2220227441522873
2.055704307036527,3.4229722,0.5097836412658119,0.4902163587341881,0.22198866229195496
2.055944501490224,3.4233721499999996,0.509730324913298,0.49026967508670205,0.2219545822765467
2.0561846959439207,3.4237721,0.5096770167463929,0.4903229832536071,0.22192050410926717
2.0564248903976177,3.4241720499999997,0.5096237167646523,0.49037628323534765,0.22188642779331885
2.056665084851315,3.424572,0.5095704249676312,0.49042957503236884,0.22185235333190206
2.056905279305012,3.4249719499999998,0.5095171413548837,0.4904828586451163,0.22181828072821475
2.0571454737587094,3.4253719,0.509463865925963,0.49053613407403696,0.2217842099854527
2.0573856682124063,3.42577185,0.5094105986804222,0.49058940131957784,0.22175014110680943
2.0576258626661033,3.4261717999999997,0.5093573396178128,0.4906426603821872,0.22171607409547625
