s_z,C_bar,coverage_deficit,S_analytical,S_numeric,derivative_abs_error,fine_asymptotic_deficit,coarse_asymptotic_coverage
7.4968629,0.23642604520141228,0.7635739547985877,0.03153655841973798,0.03153655842025316,5.151781778955922e-13,4.683579445116368,0.23642607241830657
7.49726285,0.23641343282769803,0.763586567172302,0.031533193960378215,0.03153319395737819,3.0000238404603863e-12,4.68407918683251,0.23641346000100769
7.4976628000000005,0.23640082179949162,0.7635991782005084,0.031529830039189896,0.03152983003712473,2.065167481468677e-12,4.6845789552086545,0.23640084892928442
7.49806275,0.23638821211657793,0.7636117878834221,0.03152646665605853,0.03152646665532943,7.290973380591481e-13,4.685078750244797,0.23638823920292157
7.4984627,0.2363756037787417,0.7636243962212583,0.03152310381086964,0.031523103809216746,1.6528931001680292e-12,4.685578571940941,0.23637563082170374
7.49886265,0.2363629967857679,0.7636370032142321,0.031519741503508766,0.031519741502950005,5.587613705060335e-13,4.686078420297085,0.23636302378541574
7.4992626,0.23635039113744138,0.7636496088625586,0.03151637973386152,0.03151637973375365,1.0786510573623787e-13,4.68657829531323,0.23635041809384244
7.49966255,0.23633778683354711,0.7636622131664529,0.03151301850181348,0.03151301850023991,1.5735746039524656e-12,4.687078196989375,0.23633781374676863
7.5000625,0.2363251838738701,0.7636748161261299,0.03150965780725032,0.03150965780657211,6.782074901678925e-13,4.687578125325522,0.23632521074397925
7.500462450000001,0.23631258225819543,0.7636874177418046,0.031506297650057705,0.03150629764858692,1.470781829659984e-12,4.6880780803216675,0.23631260908525922
7.5008624,0.23629998198630825,0.7637000180136917,0.03150293803012135,0.03150293802767212,2.4492283201560383e-12,4.688578061977814,0.23630000877039364
7.50126235,0.23628738305799357,0.7637126169420064,0.03149957894732698,0.03149957894521549,2.1114915371711618e-12,4.68907807029396,0.23628740979916746
7.5016623000000004,0.23627478547303665,0.7637252145269633,0.03149622040156035,0.031496220399829244,1.7311083122528714e-12,4.689578105270108,0.23627481217136578
7.50206225,0.23626218923122277,0.7637378107687772,0.03149286239270728,0.031492862392901166,1.9388657346297578e-13,4.690078166906255,0.2362622158867738
7.5024622,0.2362495943323372,0.7637504056676628,0.031489504920653576,0.0314895049216557,1.0021219964961858e-12,4.690578255202404,0.23624962094517662
7.50286215,0.23623700077616516,0.7637629992238348,0.031486147985285096,0.03148614798609284,8.077427615660326e-13,4.691078370158553,0.2362370273463595
7.503262100000001,0.23622440856249216,0.7637755914375078,0.03148279158648773,0.03148279158343703,3.0506985826406208e-12,4.6915785117747015,0.23622443509010776
7.50366205,0.23621181769110364,0.7637881823088963,0.0314794357241474,0.03147943572340273,7.446751548734198e-13,4.692078680050851,0.23621184417620672
7.504062,0.23619922816178496,0.763800771838215,0.03147608039815005,0.031476080396275474,1.8745768826100573e-12,4.692578874987,0.2361992546044417
7.5044619500000005,0.23618663997432168,0.7638133600256783,0.03147272560838164,0.03147272560760639,7.752479214140351e-13,4.69307909658315,0.2361866663745981
7.5048619,0.23617405312849937,0.7638259468715006,0.03146937135472818,0.031469371351844355,2.883825123145556e-12,4.693579344839301,0.23617407948646144
7.50526185,0.23616146762410356,0.7638385323758965,0.03146601763707571,0.031466017637316046,2.4033552925573076e-13,4.694079619755452,0.23616149393981714
7.5056618,0.23614888346092,0.76385111653908,0.03146266445531029,0.03146266445291923,2.391059572559584e-12,4.694579921331604,0.23614890973445082
7.50606175,0.23613630063873434,0.7638636993612656,0.03145931180931803,0.03145931180698058,2.3374496782579968e-12,4.695080249567755,0.2361363268701481
7.5064617,0.23612371915733232,0.7638762808426677,0.03145595969898504,0.031455959698112324,8.727185640822199e-13,4.695580604463907,0.23612374534669456
7.50686165,0.23611113901649972,0.7638888609835003,0.03145260812419748,0.031452608122151116,2.0463630789890885e-12,4.6960809860200605,0.23611116516387587
7.5072616000000005,0.23609856021602235,0.7639014397839776,0.031449257084841524,0.03144925708187252,2.969006984709921e-12,4.6965813942362145,0.23609858632147782
7.50766155,0.2360859827556862,0.7639140172443137,0.03144590658080341,0.03144590657866431,2.1391013960148086e-12,4.697081829112367,0.2360860088192862
7.5080615,0.23607340663527704,0.763926593364723,0.03144255661196937,0.031442556611138706,8.306619281306382e-13,4.697582290648521,0.23607343265708677
7.50846145,0.23606083185458096,0.7639391681454191,0.03143920717822567,0.031439207176520156,1.7055107326413577e-12,4.698082778844676,0.23606085783466543
7.5088614,0.2360482584133839,0.7639517415866162,0.031435858279458634,0.031435858278971995,4.866385072688217e-13,4.698583293700829,0.2360482843518081
7.50926135,0.23603568631147193,0.7639643136885281,0.031432509915554574,0.031432509917106444,1.5518697438210438e-12,4.699083835216985,0.23603571220830075
7.5096613,0.23602311554863112,0.7639768844513689,0.03142916208639986,0.03142916208398461,2.4152554956025085e-12,4.699584403393142,0.23602314140392933
7.510061250000001,0.2360105461246477,0.7639894538753523,0.0314258147918809,0.031425814792096496,2.155983724883015e-13,4.700084998229298,0.23601057193847996
