delta,model,regime,E,M
2.4649999999999994,FD,LF,0.7198806874319266,0.14685103551252005
2.4659999999999993,FD,LF,0.7197338468216494,0.14683018070801765
2.466999999999999,FD,LF,0.7195870270791705,0.14680929992340414
2.4679999999999995,FD,LF,0.7194402282304481,0.14678839320235915
2.4689999999999994,FD,LF,0.7192934503013967,0.14676746058852352
2.4699999999999993,FD,LF,0.7191466933178875,0.14674650212549928
2.470999999999999,FD,LF,0.7189999573057476,0.1467255178568495
2.4719999999999995,FD,LF,0.7188532422907611,0.14670450782609862
2.4729999999999994,FD,LF,0.7187065482986683,0.14668347207673205
2.4739999999999993,FD,LF,0.7185598753551661,0.1466624106521966
2.474999999999999,FD,LF,0.718413223485908,0.14664132359590007
2.4759999999999995,FD,LF,0.7182665927165036,0.14662021095121158
2.4769999999999994,FD,LF,0.7181199830725205,0.14659907276146145
2.4779999999999993,FD,LF,0.7179733945794814,0.14657790906994106
2.478999999999999,FD,LF,0.7178268272628667,0.14655671991990316
2.4799999999999995,FD,LF,0.7176802811481132,0.14653550535456167
2.4809999999999994,FD,LF,0.717533756260615,0.14651426541709167
2.4819999999999993,FD,LF,0.7173872526257221,0.14649300015062944
2.482999999999999,FD,LF,0.7172407702687424,0.1464717095982726
2.4839999999999995,FD,LF,0.7170943092149399,0.14645039380307986
2.4849999999999994,FD,LF,0.716947869489536,0.14642905280807128
2.4859999999999993,FD,LF,0.7168014511177094,0.14640768665622814
2.486999999999999,FD,LF,0.716655054124595,0.14638629539049286
2.4879999999999995,FD,LF,0.7165086785352854,0.1463648790537692
2.4889999999999994,FD,LF,0.71636232437483,0.14634343768892216
2.4899999999999993,FD,LF,0.716215991668236,0.146321971338778
2.490999999999999,FD,LF,0.7160696804404667,0.14630048004612417
2.4919999999999995,FD,LF,0.7159233907164436,0.14627896385370956
2.4929999999999994,FD,LF,0.715777122521045,0.14625742280424414
2.4939999999999993,FD,LF,0.7156308758791066,0.14623585694039926
2.494999999999999,FD,LF,0.7154846508154215,0.14621426630480755
2.4959999999999996,FD,LF,0.71533844735474,0.1461926509400629
